Secteur,Ville,Boite de vitesses,Type de carburant,Marque,Modele,Nombre de portes,Origine,Premiere main,Puissance fiscale,Etat,log_price (en milliers MAD),Kilometrage lisse (en milliers km),Age (annees)
toute la ville,guercif,Manuelle,Diesel,citroen,c3,5,WW au Maroc,False,6,Très bon,4.90527477843843,163.681125760049,5
tilila,agadir,Manuelle,Diesel,hyundai,accent,5,WW au Maroc,False,6,Excellent,5.062595033026967,108.52461435430429,3
ain sebaa,casablanca,Manuelle,Diesel,renault,kangoo,5,WW au Maroc,False,6,Excellent,4.882801922586371,94.65039080194364,4
autre secteur,casablanca,Automatique,Diesel,volvo,v40,5,WW au Maroc,True,8,Bon,5.1647859739235145,90.02778162129819,7
autre secteur,tétouan,Manuelle,Diesel,opel,crossland,5,WW au Maroc,True,6,Bon,4.653960350157523,154.07915202671447,6
al fida,casablanca,Manuelle,Diesel,dacia,logan,5,WW au Maroc,False,7,Bon,4.867534450455582,108.48769525633507,2
hay el fath,rabat,Automatique,Diesel,mercedes-benz,classe c,5,Dédouanée,True,8,Excellent,5.043425116919247,82.44974893932091,17
Others,essaouira,Manuelle,Essence,fiat,Others,5,WW au Maroc,True,8,Très bon,3.6375861597263857,229.8274664622598,16
hay riad,rabat,Automatique,Diesel,volkswagen,touareg,5,WW au Maroc,False,12,Excellent,5.043425116919247,159.7835254490002,10
centre ville,tétouan,Manuelle,Diesel,seat,arona,5,WW au Maroc,False,6,Excellent,5.337538079701318,49.19646176152621,3
